title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,source
Kill Bill,SZA,2ty6DmPnxVPpEFuB23XM0x,0.678,0.798,10,-5.195,1,0.0316,0.0383,0.269,0.126,0.509,99.941,audio_features,2ty6DmPnxVPpEFuB23XM0x,spotify:track:2ty6DmPnxVPpEFuB23XM0x,https://api.spotify.com/v1/tracks/2ty6DmPnxVPpEFuB23XM0x,https://api.spotify.com/v1/audio-analysis/2ty6DmPnxVPpEFuB23XM0x,137528,4,H
Creepin',"Metro Boomin, The Weeknd & 21 Savage",4CpujwKsq4DxOIMiKr12m8,0.728,0.293,1,-13.657,0,0.0562,0.479,0.904,0.118,0.152,98.302,audio_features,4CpujwKsq4DxOIMiKr12m8,spotify:track:4CpujwKsq4DxOIMiKr12m8,https://api.spotify.com/v1/tracks/4CpujwKsq4DxOIMiKr12m8,https://api.spotify.com/v1/audio-analysis/4CpujwKsq4DxOIMiKr12m8,217026,4,H
Anti-Hero,Taylor Swift,2d3d9xZutJjmUpntiyHt3F,0.624,0.332,4,-9.989,1,0.0365,0.597,0.000679,0.195,0.397,96.864,audio_features,2d3d9xZutJjmUpntiyHt3F,spotify:track:2d3d9xZutJjmUpntiyHt3F,https://api.spotify.com/v1/tracks/2d3d9xZutJjmUpntiyHt3F,https://api.spotify.com/v1/audio-analysis/2d3d9xZutJjmUpntiyHt3F,196473,4,H
Unholy,Sam Smith & Kim Petras,2nCTOlmH43oR4DqI6xlCpm,0.585,0.639,8,-2.788,1,0.0345,0.451,0.0,0.212,0.74,91.917,audio_features,2nCTOlmH43oR4DqI6xlCpm,spotify:track:2nCTOlmH43oR4DqI6xlCpm,https://api.spotify.com/v1/tracks/2nCTOlmH43oR4DqI6xlCpm,https://api.spotify.com/v1/audio-analysis/2nCTOlmH43oR4DqI6xlCpm,192052,4,H
Die For You,The Weeknd,6P8qQd1CFkWnaJoykXZNLi,0.602,0.528,1,-7.152,0,0.0556,0.11,0.0,0.157,0.455,133.851,audio_features,6P8qQd1CFkWnaJoykXZNLi,spotify:track:6P8qQd1CFkWnaJoykXZNLi,https://api.spotify.com/v1/tracks/6P8qQd1CFkWnaJoykXZNLi,https://api.spotify.com/v1/audio-analysis/6P8qQd1CFkWnaJoykXZNLi,260256,4,H
I'm Good (Blue),David Guetta & Bebe Rexha,7ihNiq6gSmy4mlxOx7uIfn,0.614,0.922,7,-4.794,0,0.0319,0.00249,0.0269,0.0554,0.712,148.012,audio_features,7ihNiq6gSmy4mlxOx7uIfn,spotify:track:7ihNiq6gSmy4mlxOx7uIfn,https://api.spotify.com/v1/tracks/7ihNiq6gSmy4mlxOx7uIfn,https://api.spotify.com/v1/audio-analysis/7ihNiq6gSmy4mlxOx7uIfn,205970,4,H
Rich Flex,Drake & 21 Savage,5ohIltdc8ekOOQklRN0Py1,0.443,0.689,11,-10.048,0,0.395,0.679,0.0,0.42,0.433,94.891,audio_features,5ohIltdc8ekOOQklRN0Py1,spotify:track:5ohIltdc8ekOOQklRN0Py1,https://api.spotify.com/v1/tracks/5ohIltdc8ekOOQklRN0Py1,https://api.spotify.com/v1/audio-analysis/5ohIltdc8ekOOQklRN0Py1,290909,3,H
As It Was,Harry Styles,45j9kVVFMQwVmqUw9EBZWf,0.389,0.737,11,-7.037,1,0.0425,0.0968,0.515,0.0536,0.118,75.494,audio_features,45j9kVVFMQwVmqUw9EBZWf,spotify:track:45j9kVVFMQwVmqUw9EBZWf,https://api.spotify.com/v1/tracks/45j9kVVFMQwVmqUw9EBZWf,https://api.spotify.com/v1/audio-analysis/45j9kVVFMQwVmqUw9EBZWf,186800,4,H
Just Wanna Rock,Lil Uzi Vert,2xrZxqT66DZEcT0X3Kvrcy,0.544,0.546,1,-14.475,1,0.0923,0.0099,0.00027,0.392,0.151,161.76,audio_features,2xrZxqT66DZEcT0X3Kvrcy,spotify:track:2xrZxqT66DZEcT0X3Kvrcy,https://api.spotify.com/v1/tracks/2xrZxqT66DZEcT0X3Kvrcy,https://api.spotify.com/v1/audio-analysis/2xrZxqT66DZEcT0X3Kvrcy,100383,4,H
Made You Look,Meghan Trainor,4MHrJOgMvqykhcRtYNWiZQ,0.684,0.467,10,-5.623,1,0.0438,0.764,0.0,0.149,0.891,145.178,audio_features,4MHrJOgMvqykhcRtYNWiZQ,spotify:track:4MHrJOgMvqykhcRtYNWiZQ,https://api.spotify.com/v1/tracks/4MHrJOgMvqykhcRtYNWiZQ,https://api.spotify.com/v1/audio-analysis/4MHrJOgMvqykhcRtYNWiZQ,134352,4,H
Golden Hour,JVKE,5SxZtc0xXmrXcXaoUIQskY,0.326,0.645,4,-4.374,1,0.0442,0.646,0.00521,0.224,0.183,188.488,audio_features,5SxZtc0xXmrXcXaoUIQskY,spotify:track:5SxZtc0xXmrXcXaoUIQskY,https://api.spotify.com/v1/tracks/5SxZtc0xXmrXcXaoUIQskY,https://api.spotify.com/v1/audio-analysis/5SxZtc0xXmrXcXaoUIQskY,209022,3,H
Under The Influence,Chris Brown,4ud5CYIXZekCQSjFCuByXt,0.727,0.704,9,-5.534,0,0.0426,0.0524,1.78e-06,0.102,0.318,116.987,audio_features,4ud5CYIXZekCQSjFCuByXt,spotify:track:4ud5CYIXZekCQSjFCuByXt,https://api.spotify.com/v1/tracks/4ud5CYIXZekCQSjFCuByXt,https://api.spotify.com/v1/audio-analysis/4ud5CYIXZekCQSjFCuByXt,184613,4,H
Something In The Orange,Zach Bryan,5E6XntSpjoOj9kUhsiSdZq,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,5E6XntSpjoOj9kUhsiSdZq,spotify:track:5E6XntSpjoOj9kUhsiSdZq,https://api.spotify.com/v1/tracks/5E6XntSpjoOj9kUhsiSdZq,https://api.spotify.com/v1/audio-analysis/5E6XntSpjoOj9kUhsiSdZq,228013,3,H
Cuff It,Beyonce,2TWRjCC6ERPVgKsvXHfIGA,0.644,0.806,0,-7.22,1,0.104,0.113,0.0,0.501,0.506,105.023,audio_features,2TWRjCC6ERPVgKsvXHfIGA,spotify:track:2TWRjCC6ERPVgKsvXHfIGA,https://api.spotify.com/v1/tracks/2TWRjCC6ERPVgKsvXHfIGA,https://api.spotify.com/v1/audio-analysis/2TWRjCC6ERPVgKsvXHfIGA,208000,4,H
Rock And A Hard Place,Bailey Zimmerman,4TnQPcwIvpxCo1QKrNzT8J,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,audio_features,4TnQPcwIvpxCo1QKrNzT8J,spotify:track:4TnQPcwIvpxCo1QKrNzT8J,https://api.spotify.com/v1/tracks/4TnQPcwIvpxCo1QKrNzT8J,https://api.spotify.com/v1/audio-analysis/4TnQPcwIvpxCo1QKrNzT8J,207541,3,H
Thank God,Kane Brown With Katelyn Brown,5ekA7j4MPQa3NZbZQSpRfF,0.463,0.84,0,-5.807,1,0.0385,0.00204,2.16e-06,0.197,0.575,99.991,audio_features,5ekA7j4MPQa3NZbZQSpRfF,spotify:track:5ekA7j4MPQa3NZbZQSpRfF,https://api.spotify.com/v1/tracks/5ekA7j4MPQa3NZbZQSpRfF,https://api.spotify.com/v1/audio-analysis/5ekA7j4MPQa3NZbZQSpRfF,214293,4,H
You Proof,Morgan Wallen,6YLZ03vXhMlUSaSjobvZhs,0.73,0.5,9,-11.591,1,0.0381,0.0237,0.914,0.0961,0.826,119.751,audio_features,6YLZ03vXhMlUSaSjobvZhs,spotify:track:6YLZ03vXhMlUSaSjobvZhs,https://api.spotify.com/v1/tracks/6YLZ03vXhMlUSaSjobvZhs,https://api.spotify.com/v1/audio-analysis/6YLZ03vXhMlUSaSjobvZhs,156615,4,H
Lavender Haze,Taylor Swift,4g2c7NoTWAOSYDy44l9nub,0.735,0.444,10,-10.519,1,0.0684,0.204,0.0012,0.17,0.0984,97.038,audio_features,4g2c7NoTWAOSYDy44l9nub,spotify:track:4g2c7NoTWAOSYDy44l9nub,https://api.spotify.com/v1/tracks/4g2c7NoTWAOSYDy44l9nub,https://api.spotify.com/v1/audio-analysis/4g2c7NoTWAOSYDy44l9nub,202396,4,H
Bad Habit,Steve Lacy,4i7HqWsN7iJzsXpsW5h1nb,0.709,0.679,9,-4.828,1,0.0588,0.808,4.61e-05,0.428,0.852,102.653,audio_features,4i7HqWsN7iJzsXpsW5h1nb,spotify:track:4i7HqWsN7iJzsXpsW5h1nb,https://api.spotify.com/v1/tracks/4i7HqWsN7iJzsXpsW5h1nb,https://api.spotify.com/v1/audio-analysis/4i7HqWsN7iJzsXpsW5h1nb,191336,4,H
Thought You Should Know,Morgan Wallen,03BnRR0svyDHLKs4zl9btw,0.502,0.405,6,-14.995,1,0.0351,0.26,0.943,0.126,0.305,70.314,audio_features,03BnRR0svyDHLKs4zl9btw,spotify:track:03BnRR0svyDHLKs4zl9btw,https://api.spotify.com/v1/tracks/03BnRR0svyDHLKs4zl9btw,https://api.spotify.com/v1/audio-analysis/03BnRR0svyDHLKs4zl9btw,213072,4,H
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,7MkylDYvKTSuWgrsBhHlsG,0.535,0.874,9,-2.248,0,0.137,0.371,0.0,0.192,0.323,140.006,audio_features,7MkylDYvKTSuWgrsBhHlsG,spotify:track:7MkylDYvKTSuWgrsBhHlsG,https://api.spotify.com/v1/tracks/7MkylDYvKTSuWgrsBhHlsG,https://api.spotify.com/v1/audio-analysis/7MkylDYvKTSuWgrsBhHlsG,227562,4,H
Escapism,RAYE Featuring 070 Shake,4D8h7lEUY0tVRGuX17tz3f,0.494,0.67,1,-5.639,1,0.0907,0.162,0.000166,0.0896,0.274,92.494,audio_features,4D8h7lEUY0tVRGuX17tz3f,spotify:track:4D8h7lEUY0tVRGuX17tz3f,https://api.spotify.com/v1/tracks/4D8h7lEUY0tVRGuX17tz3f,https://api.spotify.com/v1/audio-analysis/4D8h7lEUY0tVRGuX17tz3f,287135,4,H
"Going, Going, Gone",Luke Combs,7l0opbsWwkPAy53jZRUBW9,0.527,0.531,7,-6.381,1,0.0254,0.251,0.0,0.0604,0.411,160.135,audio_features,7l0opbsWwkPAy53jZRUBW9,spotify:track:7l0opbsWwkPAy53jZRUBW9,https://api.spotify.com/v1/tracks/7l0opbsWwkPAy53jZRUBW9,https://api.spotify.com/v1/audio-analysis/7l0opbsWwkPAy53jZRUBW9,174507,3,H
