title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,source
Sunflower  SpiderMan: Into the SpiderVerse,Post Malone ,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040,4,N
Lucid Dreams,Juice WRLD ,1jKlRcH7X78ps1yKBTWyUV,0.443,0.579,6,-6.517,0,0.187,0.125,0.0,0.284,0.256,83.827,spotify:track:1jKlRcH7X78ps1yKBTWyUV,https://api.spotify.com/v1/tracks/1jKlRcH7X78ps1yKBTWyUV,https://api.spotify.com/v1/audio-analysis/1jKlRcH7X78ps1yKBTWyUV,240437,4,N
XO TOUR Llif3,Lil Uzi Vert ,3a5Jw71t9pi7iRy2crMm6s,0.732,0.746,11,-6.367,0,0.226,0.00276,0.0,0.109,0.407,155.096,spotify:track:3a5Jw71t9pi7iRy2crMm6s,https://api.spotify.com/v1/tracks/3a5Jw71t9pi7iRy2crMm6s,https://api.spotify.com/v1/audio-analysis/3a5Jw71t9pi7iRy2crMm6s,182707,4,N
No Role Modelz,J. Cole ,0SFZAQnxM6KBBNi8Y7YflZ,0.63,0.695,10,-7.666,0,0.318,0.0847,1.15e-06,0.77,0.163,102.647,spotify:track:0SFZAQnxM6KBBNi8Y7YflZ,https://api.spotify.com/v1/tracks/0SFZAQnxM6KBBNi8Y7YflZ,https://api.spotify.com/v1/audio-analysis/0SFZAQnxM6KBBNi8Y7YflZ,356187,4,N
rockstar,Post Malone ,19bX4zmC2zDben2ldhoRB3,0.594,0.507,5,-6.141,0,0.0816,0.145,0.000871,0.132,0.137,159.729,spotify:track:19bX4zmC2zDben2ldhoRB3,https://api.spotify.com/v1/tracks/19bX4zmC2zDben2ldhoRB3,https://api.spotify.com/v1/audio-analysis/19bX4zmC2zDben2ldhoRB3,218147,4,N
goosebumps,Travis Scott ,5uEYRdEIh9Bo4fpjDd4Na9,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,https://api.spotify.com/v1/tracks/5uEYRdEIh9Bo4fpjDd4Na9,https://api.spotify.com/v1/audio-analysis/5uEYRdEIh9Bo4fpjDd4Na9,162803,4,N
Blinding Lights,The Weeknd ,02nMYbIiYIzaFA3D3Bkn6W,0.605,0.784,0,-6.194,1,0.0592,0.00833,6.73e-06,0.114,0.873,170.999,spotify:track:02nMYbIiYIzaFA3D3Bkn6W,https://api.spotify.com/v1/tracks/02nMYbIiYIzaFA3D3Bkn6W,https://api.spotify.com/v1/audio-analysis/02nMYbIiYIzaFA3D3Bkn6W,179247,4,N
Jocelyn Flores,XXXTENTACION ,2k3bYVIL46Phwvx2Vy30iX,0.876,0.322,0,-12.127,0,0.376,0.623,0.0,0.145,0.741,133.963,spotify:track:2k3bYVIL46Phwvx2Vy30iX,https://api.spotify.com/v1/tracks/2k3bYVIL46Phwvx2Vy30iX,https://api.spotify.com/v1/audio-analysis/2k3bYVIL46Phwvx2Vy30iX,111517,4,N
SAD!,XXXTENTACION ,500rrRPwBWD2slEEljcha2,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,spotify:track:500rrRPwBWD2slEEljcha2,https://api.spotify.com/v1/tracks/500rrRPwBWD2slEEljcha2,https://api.spotify.com/v1/audio-analysis/500rrRPwBWD2slEEljcha2,166606,4,N
All Girls Are The Same,Juice WRLD ,7yFy1mdIzML1zWUCtN3Gng,0.673,0.529,0,-7.226,1,0.306,0.0769,0.000338,0.0856,0.203,161.991,spotify:track:7yFy1mdIzML1zWUCtN3Gng,https://api.spotify.com/v1/tracks/7yFy1mdIzML1zWUCtN3Gng,https://api.spotify.com/v1/audio-analysis/7yFy1mdIzML1zWUCtN3Gng,165820,4,N
HUMBLE.,Kendrick Lamar ,65ES1qwOB577ZnTkizMXJJ,0.901,0.934,11,-2.345,1,0.273,0.00794,7.68e-05,0.194,0.868,150.037,spotify:track:65ES1qwOB577ZnTkizMXJJ,https://api.spotify.com/v1/tracks/65ES1qwOB577ZnTkizMXJJ,https://api.spotify.com/v1/audio-analysis/65ES1qwOB577ZnTkizMXJJ,156800,4,N
Circles,Post Malone ,3mrE0pFzyIQqFs3cMUimY4,0.801,0.703,0,-4.996,1,0.0549,0.308,0.842,0.123,0.662,120.007,spotify:track:3mrE0pFzyIQqFs3cMUimY4,https://api.spotify.com/v1/tracks/3mrE0pFzyIQqFs3cMUimY4,https://api.spotify.com/v1/audio-analysis/3mrE0pFzyIQqFs3cMUimY4,214693,4,N
SICKO MODE,Travis Scott ,0u695M7KyzXaPIjpEbxOkB,0.651,0.833,1,-3.356,1,0.172,0.0214,0.0,0.14,0.443,155.051,spotify:track:0u695M7KyzXaPIjpEbxOkB,https://api.spotify.com/v1/tracks/0u695M7KyzXaPIjpEbxOkB,https://api.spotify.com/v1/audio-analysis/0u695M7KyzXaPIjpEbxOkB,304512,4,N
Drip Too Hard (Lil Baby & Gunna),Lil Baby ,35VqrhjE2TkJGqtejeEdfS,0.51,0.845,6,-6.804,0,0.0351,0.168,0.778,0.308,0.376,112.569,spotify:track:35VqrhjE2TkJGqtejeEdfS,https://api.spotify.com/v1/tracks/35VqrhjE2TkJGqtejeEdfS,https://api.spotify.com/v1/audio-analysis/35VqrhjE2TkJGqtejeEdfS,145311,4,N
Congratulations,Post Malone ,1bLjm7Gqjbuv57OxZdhLrP,0.629,0.807,6,-4.255,1,0.0371,0.204,0.0,0.252,0.493,122.997,spotify:track:1bLjm7Gqjbuv57OxZdhLrP,https://api.spotify.com/v1/tracks/1bLjm7Gqjbuv57OxZdhLrP,https://api.spotify.com/v1/audio-analysis/1bLjm7Gqjbuv57OxZdhLrP,220293,4,N
I Fall Apart,Post Malone ,6ZdQdhzevxGJ27YQozoI9V,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.946,spotify:track:6ZdQdhzevxGJ27YQozoI9V,https://api.spotify.com/v1/tracks/6ZdQdhzevxGJ27YQozoI9V,https://api.spotify.com/v1/audio-analysis/6ZdQdhzevxGJ27YQozoI9V,223347,4,N
Heat Waves,Glass Animals ,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805,4,N
God's Plan,Drake ,5HfUsHA6HCvIDDvtXJlUKb,0.912,0.609,4,-6.381,1,0.0633,0.354,0.000522,0.118,0.968,129.951,spotify:track:5HfUsHA6HCvIDDvtXJlUKb,https://api.spotify.com/v1/tracks/5HfUsHA6HCvIDDvtXJlUKb,https://api.spotify.com/v1/audio-analysis/5HfUsHA6HCvIDDvtXJlUKb,166022,4,N
The Box,Roddy Ricch ,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,196653,4,N
