title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,source
Kill Bill,SZA,2ty6DmPnxVPpEFuB23XM0x,0.678,0.798,10,-5.195,1,0.0316,0.0383,0.269,0.126,0.509,100,spotify:track:2ty6DmPnxVPpEFuB23XM0x,https://api.spotify.com/v1/tracks/2ty6DmPnxVPpEFuB23XM0x,https://api.spotify.com/v1/audio-analysis/2ty6DmPnxVPpEFuB23XM0x,137528,4,H
Creepin',"Metro Boomin, The Weeknd & 21 Savage",4CpujwKsq4DxOIMiKr12m8,0.728,0.293,1,-13.657,0,0.0562,0.479,0.904,0.118,0.152,98,spotify:track:4CpujwKsq4DxOIMiKr12m8,https://api.spotify.com/v1/tracks/4CpujwKsq4DxOIMiKr12m8,https://api.spotify.com/v1/audio-analysis/4CpujwKsq4DxOIMiKr12m8,217026,4,H
Anti-Hero,Taylor Swift,2d3d9xZutJjmUpntiyHt3F,0.624,0.332,4,-9.989,1,0.0365,0.597,0.000679,0.195,0.397,97,spotify:track:2d3d9xZutJjmUpntiyHt3F,https://api.spotify.com/v1/tracks/2d3d9xZutJjmUpntiyHt3F,https://api.spotify.com/v1/audio-analysis/2d3d9xZutJjmUpntiyHt3F,196473,4,H
Unholy,Sam Smith & Kim Petras,2nCTOlmH43oR4DqI6xlCpm,0.585,0.639,8,-2.788,1,0.0345,0.451,0.0,0.212,0.74,92,spotify:track:2nCTOlmH43oR4DqI6xlCpm,https://api.spotify.com/v1/tracks/2nCTOlmH43oR4DqI6xlCpm,https://api.spotify.com/v1/audio-analysis/2nCTOlmH43oR4DqI6xlCpm,192052,4,H
Die For You,The Weeknd,6P8qQd1CFkWnaJoykXZNLi,0.602,0.528,1,-7.152,0,0.0556,0.11,0.0,0.157,0.455,134,spotify:track:6P8qQd1CFkWnaJoykXZNLi,https://api.spotify.com/v1/tracks/6P8qQd1CFkWnaJoykXZNLi,https://api.spotify.com/v1/audio-analysis/6P8qQd1CFkWnaJoykXZNLi,260256,4,H
I'm Good (Blue),David Guetta & Bebe Rexha,7ihNiq6gSmy4mlxOx7uIfn,0.614,0.922,7,-4.794,0,0.0319,0.00249,0.0269,0.0554,0.712,148,spotify:track:7ihNiq6gSmy4mlxOx7uIfn,https://api.spotify.com/v1/tracks/7ihNiq6gSmy4mlxOx7uIfn,https://api.spotify.com/v1/audio-analysis/7ihNiq6gSmy4mlxOx7uIfn,205970,4,H
Rich Flex,Drake & 21 Savage,5ohIltdc8ekOOQklRN0Py1,0.443,0.689,11,-10.048,0,0.395,0.679,0.0,0.42,0.433,95,spotify:track:5ohIltdc8ekOOQklRN0Py1,https://api.spotify.com/v1/tracks/5ohIltdc8ekOOQklRN0Py1,https://api.spotify.com/v1/audio-analysis/5ohIltdc8ekOOQklRN0Py1,290909,3,H
As It Was,Harry Styles,45j9kVVFMQwVmqUw9EBZWf,0.389,0.737,11,-7.037,1,0.0425,0.0968,0.515,0.0536,0.118,75,spotify:track:45j9kVVFMQwVmqUw9EBZWf,https://api.spotify.com/v1/tracks/45j9kVVFMQwVmqUw9EBZWf,https://api.spotify.com/v1/audio-analysis/45j9kVVFMQwVmqUw9EBZWf,186800,4,H
Just Wanna Rock,Lil Uzi Vert,2xrZxqT66DZEcT0X3Kvrcy,0.544,0.546,1,-14.475,1,0.0923,0.0099,0.00027,0.392,0.151,162,spotify:track:2xrZxqT66DZEcT0X3Kvrcy,https://api.spotify.com/v1/tracks/2xrZxqT66DZEcT0X3Kvrcy,https://api.spotify.com/v1/audio-analysis/2xrZxqT66DZEcT0X3Kvrcy,100383,4,H
Made You Look,Meghan Trainor,4MHrJOgMvqykhcRtYNWiZQ,0.684,0.467,10,-5.623,1,0.0438,0.764,0.0,0.149,0.891,145,spotify:track:4MHrJOgMvqykhcRtYNWiZQ,https://api.spotify.com/v1/tracks/4MHrJOgMvqykhcRtYNWiZQ,https://api.spotify.com/v1/audio-analysis/4MHrJOgMvqykhcRtYNWiZQ,134352,4,H
