title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,source
I Didn't Mean To,Casual,7EejjSh1WDrm81z0u3Fhmk,0.771,0.824,9,-10.088,1,0.057,0.0629,0.0318,0.787,0.746,120.247,spotify:track:7EejjSh1WDrm81z0u3Fhmk,https://api.spotify.com/v1/tracks/7EejjSh1WDrm81z0u3Fhmk,https://api.spotify.com/v1/audio-analysis/7EejjSh1WDrm81z0u3Fhmk,423000,4,N
Soul Deep,The Box Tops,1wCn7slsVCtdVYRnXahIv5,0.659,0.434,9,-12.613,0,0.0653,0.173,0.0,0.157,0.924,139.355,spotify:track:1wCn7slsVCtdVYRnXahIv5,https://api.spotify.com/v1/tracks/1wCn7slsVCtdVYRnXahIv5,https://api.spotify.com/v1/audio-analysis/1wCn7slsVCtdVYRnXahIv5,112733,4,N
Amor De Cabaret,Sonora Santanera,5f78L5buph5GtBFcCYI0cx,0.542,0.212,8,-19.544,1,0.0331,0.907,0.007,0.125,0.623,101.37,spotify:track:5f78L5buph5GtBFcCYI0cx,https://api.spotify.com/v1/tracks/5f78L5buph5GtBFcCYI0cx,https://api.spotify.com/v1/audio-analysis/5f78L5buph5GtBFcCYI0cx,173933,4,N
Something Girls,Adam Ant,760xFXFj5Fksa3jawSCn5g,0.624,0.991,1,-3.467,0,0.135,0.0289,0.0107,0.0477,0.535,95.472,spotify:track:760xFXFj5Fksa3jawSCn5g,https://api.spotify.com/v1/tracks/760xFXFj5Fksa3jawSCn5g,https://api.spotify.com/v1/audio-analysis/760xFXFj5Fksa3jawSCn5g,209213,4,N
Face the Ashes,Gob,2YoX0dLXiK3uKDm7MpL63C,0.41,0.982,5,-3.774,0,0.172,7.99e-06,0.135,0.483,0.228,155.124,spotify:track:2YoX0dLXiK3uKDm7MpL63C,https://api.spotify.com/v1/tracks/2YoX0dLXiK3uKDm7MpL63C,https://api.spotify.com/v1/audio-analysis/2YoX0dLXiK3uKDm7MpL63C,183912,4,N
The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,2ZEwMwHaUECDWKkDh8rL0O,0.595,0.555,11,-7.144,0,0.032,0.61,0.000412,0.118,0.513,73.985,spotify:track:2ZEwMwHaUECDWKkDh8rL0O,https://api.spotify.com/v1/tracks/2ZEwMwHaUECDWKkDh8rL0O,https://api.spotify.com/v1/audio-analysis/2ZEwMwHaUECDWKkDh8rL0O,267560,4,N
Keepin It Real (Skit),Rated R,7cvop8FcQdqP6qfVmQLkdD,0.865,0.519,1,-5.803,1,0.159,0.357,0.0,0.211,0.669,92.718,spotify:track:7cvop8FcQdqP6qfVmQLkdD,https://api.spotify.com/v1/tracks/7cvop8FcQdqP6qfVmQLkdD,https://api.spotify.com/v1/audio-analysis/7cvop8FcQdqP6qfVmQLkdD,235800,4,N
Drop of Rain,Tweeterfriendly Music,2hKdd3qO7cWr2Jo0Bcs0MA,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/tracks/2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/audio-analysis/2hKdd3qO7cWr2Jo0Bcs0MA,259933,4,N
Pink World,Planet P Project,0D8fOq85lidevQi6AFsYDO,0.346,0.334,9,-18.382,1,0.0459,0.725,0.954,0.111,0.0347,126.379,spotify:track:0D8fOq85lidevQi6AFsYDO,https://api.spotify.com/v1/tracks/0D8fOq85lidevQi6AFsYDO,https://api.spotify.com/v1/audio-analysis/0D8fOq85lidevQi6AFsYDO,87280,5,N
Insatiable (Instrumental Version),Clp,08kxY5Z3asIQW71ueNWA5R,0.815,0.668,10,-6.372,1,0.205,0.207,0.0,0.0571,0.497,160.001,spotify:track:08kxY5Z3asIQW71ueNWA5R,https://api.spotify.com/v1/tracks/08kxY5Z3asIQW71ueNWA5R,https://api.spotify.com/v1/audio-analysis/08kxY5Z3asIQW71ueNWA5R,261023,4,N
